2022-01-28 10:28:46,829 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-28 10:28:46,907 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-01-28 10:28:46,907 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-28 10:28:46,923 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
2022-01-28 10:29:21,663 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-28 10:29:21,679 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-01-28 10:29:21,679 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-28 10:29:21,679 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
2022-01-28 10:32:23,991 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-28 10:32:24,023 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-01-28 10:32:24,023 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-28 10:32:24,023 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
2022-01-28 10:33:34,191 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-28 10:33:34,191 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-01-28 10:33:34,191 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-28 10:33:34,207 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
2022-01-28 10:37:47,088 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-28 10:37:47,104 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-01-28 10:37:47,104 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-28 10:37:47,104 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
2022-01-28 10:38:11,898 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-28 10:38:11,898 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-01-28 10:38:11,898 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-28 10:38:11,898 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
2022-01-28 10:39:26,639 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-28 10:39:26,639 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-01-28 10:39:26,655 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-28 10:39:26,657 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
2022-01-28 10:39:58,531 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-28 10:39:58,547 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-01-28 10:39:58,547 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-28 10:39:58,547 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
2022-01-28 10:41:37,468 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-28 10:41:37,484 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-01-28 10:41:37,484 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-28 10:41:37,484 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
2022-01-28 10:43:14,625 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-28 10:43:14,641 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-01-28 10:43:14,641 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-28 10:43:14,641 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
2022-01-28 12:14:24,368 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-28 12:14:24,384 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-01-28 12:14:24,384 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-28 12:14:24,384 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
